lf2_over_Sfs,xm_over_lf,sqrt_h1_over_h2,h_over_wf,construction_y,construction_p,kn,outside_digitized_chart
2.5,0.6,0.8,0.6,4.706548613448108,1.18961495144438,0.0014457293397664537,False
2.5,0.6,0.8,0.8,4.706548613448108,1.18961495144438,0.0020680747572218994,False
2.5,0.6,0.8,1.0,4.706548613448108,1.18961495144438,0.002653535689244032,False
2.5,0.6,0.8,2.0,4.706548613448108,1.18961495144438,0.0030662661552550976,False
2.5,0.6,1.0,0.5,4.706548613448108,1.2744504650653334,0.0013084613021829335,False
2.5,0.6,1.0,0.6,4.706548613448108,1.2744504650653334,0.0017480216742352004,False
2.5,0.6,1.0,0.8,4.706548613448108,1.2744504650653334,0.002492252325326667,False
2.5,0.6,1.0,1.0,4.706548613448108,1.2744504650653334,0.003174147836898534,False
2.5,0.6,1.0,2.0,4.706548613448108,1.2744504650653334,0.003743048767029201,False
2.5,0.6,1.2,0.5,4.706548613448108,1.371183084156324,0.001593549252468972,False
2.5,0.6,1.2,0.6,4.706548613448108,1.371183084156324,0.002124732336625296,False
2.5,0.6,1.2,0.8,4.706548613448108,1.371183084156324,0.00297591542078162,False
2.5,0.6,1.2,1.0,4.706548613448108,1.371183084156324,0.003771335121769209,False
2.5,0.6,1.2,2.0,4.706548613448108,1.371183084156324,0.004569292832160019,False
2.5,0.6,1.4,0.5,4.706548613448108,1.4694948241035717,0.0018884844723107152,False
2.5,0.6,1.4,0.6,4.706548613448108,1.4694948241035717,0.0025040803315935726,False
2.5,0.6,1.4,0.8,4.706548613448108,1.4694948241035717,0.0034674741205178586,False
2.5,0.6,1.4,1.0,4.706548613448108,1.4694948241035717,0.00436696894462143,False
2.5,0.6,1.4,2.0,4.706548613448108,1.4694948241035717,0.005306463768725002,False
2.5,0.6,1.6,0.5,4.706548613448108,1.5766581870376417,0.0022253061985204534,False
2.5,0.6,1.6,0.6,4.706548613448108,1.5766581870376417,0.002926632748150567,False
2.5,0.6,1.6,0.8,4.706548613448108,1.5766581870376417,0.003972627660373151,False
2.5,0.6,1.6,1.0,4.706548613448108,1.5766581870376417,0.005017614940929614,False
2.5,0.6,1.6,2.0,4.706548613448108,1.5766581870376417,0.006102602221486076,False
2.5,0.7,0.8,0.5,5.040853868145515,1.2172892274954896,0.001148409836987371,False
2.5,0.7,0.8,0.6,5.040853868145515,1.2172892274954896,0.0015422412189837627,False
2.5,0.7,0.8,0.8,5.040853868145515,1.2172892274954896,0.002206446137477448,False
2.5,0.7,0.8,1.0,5.040853868145515,1.2172892274954896,0.002825464287722487,False
2.5,0.7,0.8,2.0,5.040853868145515,1.2172892274954896,0.003280042742713466,False
2.5,0.7,1.0,0.5,5.040853868145515,1.308150591546927,0.0014044517746407807,False
2.5,0.7,1.0,0.6,5.040853868145515,1.308150591546927,0.0018726023661877077,False
2.5,0.7,1.0,0.8,5.040853868145515,1.308150591546927,0.0026607529577346344,False
2.5,0.7,1.0,1.0,5.040853868145515,1.308150591546927,0.0033805336675909467,False
2.5,0.7,1.0,2.0,5.040853868145515,1.308150591546927,0.004020910146458264,False
2.5,0.7,1.2,0.5,5.040853868145515,1.4117541102118345,0.0017152623306355037,False
2.5,0.7,1.2,0.6,5.040853868145515,1.4117541102118345,0.002284665618804971,False
2.5,0.7,1.2,0.8,5.040853868145515,1.4117541102118345,0.0031787705510591727,False
2.5,0.7,1.2,1.0,5.040853868145515,1.4117541102118345,0.004020524661271008,False
2.5,0.7,1.2,2.0,5.040853868145515,1.4117541102118345,0.0049022787714828415,False
2.5,0.7,1.4,0.5,5.040853868145515,1.5170489143876977,0.002034556526040633,False
2.5,0.7,1.4,0.6,5.040853868145515,1.5170489143876977,0.0026881956575507907,False
2.5,0.7,1.4,0.8,5.040853868145515,1.5170489143876977,0.0036984250061834097,False
2.5,0.7,1.4,1.0,5.040853868145515,1.5170489143876977,0.004653998377764956,False
2.5,0.7,1.4,2.0,5.040853868145515,1.5170489143876977,0.005649571749346502,False
2.5,0.7,1.6,0.5,5.040853868145515,1.6318240706510752,,True
2.5,0.7,1.6,0.6,5.040853868145515,1.6318240706510752,,True
2.5,0.7,1.6,0.8,5.040853868145515,1.6318240706510752,,True
2.5,0.7,1.6,1.0,5.040853868145515,1.6318240706510752,,True
2.5,0.7,1.6,2.0,5.040853868145515,1.6318240706510752,,True
2.5,0.8,0.8,0.5,5.3751591228429225,1.2449635035465996,0.001225897809930479,False
2.5,0.8,0.8,0.6,5.3751591228429225,1.2449635035465996,0.0016418686127677585,False
2.5,0.8,0.8,0.8,5.3751591228429225,1.2449635035465996,0.002344817517732998,False
2.5,0.8,0.8,1.0,5.3751591228429225,1.2449635035465996,0.0029942773716342577,False
2.5,0.8,0.8,2.0,5.3751591228429225,1.2449635035465996,0.003504204378727457,False
2.5,0.8,1.0,0.5,5.3751591228429225,1.3418507180285206,0.0015055521540855619,False
2.5,0.8,1.0,0.6,5.3751591228429225,1.3418507180285206,0.0020074028721140825,False
2.5,0.8,1.0,0.8,5.3751591228429225,1.3418507180285206,0.002829253590142603,False
2.5,0.8,1.0,1.0,5.3751591228429225,1.3418507180285206,0.0035894744517768282,False
2.5,0.8,1.0,2.0,5.3751591228429225,1.3418507180285206,0.0043141012468481295,False
2.5,0.8,1.2,0.5,5.3751591228429225,1.452325136267345,0.0018369754088020354,False
2.5,0.8,1.2,0.6,5.3751591228429225,1.452325136267345,0.002438835517815911,False
2.5,0.8,1.2,0.8,5.3751591228429225,1.452325136267345,0.0033816256813367254,False
2.5,0.8,1.2,1.0,5.3751591228429225,1.452325136267345,0.004263950817604071,False
2.5,0.8,1.2,2.0,5.3751591228429225,1.452325136267345,0.005186275953871416,False
2.5,0.8,1.4,0.5,5.3751591228429225,1.564603004671824,0.002186729614949837,False
2.5,0.8,1.4,0.6,5.3751591228429225,1.564603004671824,0.002878412018687296,False
2.5,0.8,1.4,0.8,5.3751591228429225,1.564603004671824,0.00391717382149039,False
2.5,0.8,1.4,1.0,5.3751591228429225,1.564603004671824,0.004944078328498126,False
2.5,0.8,1.4,2.0,5.3751591228429225,1.564603004671824,0.006010982835505862,False
2.5,0.8,1.6,0.5,5.3751591228429225,1.6869899542645088,,True
2.5,0.8,1.6,0.6,5.3751591228429225,1.6869899542645088,,True
2.5,0.8,1.6,0.8,5.3751591228429225,1.6869899542645088,,True
2.5,0.8,1.6,1.0,5.3751591228429225,1.6869899542645088,,True
2.5,0.8,1.6,2.0,5.3751591228429225,1.6869899542645088,,True
3.0,0.1,0.8,0.5,2.6399921571381753,1.0185423971140874,0.0006282102324966273,False
3.0,0.1,0.8,0.6,2.6399921571381753,1.0185423971140874,0.0008811899104764885,False
3.0,0.1,0.8,0.8,2.6399921571381753,1.0185423971140874,0.001212711985570437,False
3.0,0.1,0.8,1.0,2.6399921571381753,1.0185423971140874,0.0015668171018187508,False
